PA_ID,electorate,votes,non_votes,con_votes,lab_votes,libdem_votes,green_votes,ukip_votes,plaid_votes,other_votes
417,54437,34448,19989,7918,12744,11094,0,677,724,1291
418,62111,39720,22391,12845,16389,6587,450,1144,1122,1183
420,69319,48283,21036,20774,3387,20251,701,3088,0,82
421,74260,50765,23495,25123,8857,11267,1457,2800,0,1261
422,67851,49661,18190,15928,2896,27554,508,2680,0,95
423,73105,47800,25305,25916,6353,11106,745,1841,0,1839
424,76179,54993,21186,27133,7252,16193,1000,2329,0,1086
425,73758,49150,24608,23753,9119,10613,830,3061,0,1774
426,82336,46239,36097,11314,22293,7585,0,0,0,5047
427,61850,40271,21579,13735,11799,11250,443,1238,0,1806
428,63105,38978,24127,15917,9913,7579,363,1897,0,3309
429,82033,59890,22143,33081,10380,12603,685,2406,0,735
430,64814,42573,22241,17280,13379,7783,1245,1878,0,1008
431,73649,47551,26098,10902,13650,13960,7095,1145,0,799
432,58705,33112,25593,7846,15022,8053,928,1138,0,125
433,63240,34285,28955,8508,16646,5849,0,1338,0,1944
434,67441,40789,26652,13437,15209,9406,630,967,0,1140
435,67837,44646,23191,18536,16467,6846,0,0,0,2797
437,55527,34650,20877,5398,18644,5260,0,780,3326,1242
438,65699,45492,20207,24625,8768,6996,371,1532,0,3200
439,72557,44520,28037,11773,14186,14083,0,1720,0,2758
440,72359,42910,29449,10151,19503,8193,0,1387,0,3676
442,67732,48911,18821,29200,4400,12000,511,1360,0,1440
443,81903,51651,30252,9727,21938,17357,1238,1202,0,189
444,86458,56480,29978,23906,5999,23730,1184,1518,0,143
447,66422,45045,21377,17512,13927,9095,0,1476,0,3035
448,68480,46516,21964,14516,17565,9800,0,1936,0,2699
449,64484,45087,19397,24071,5834,12830,0,1259,0,1093
451,70278,44927,25351,18133,13272,8816,523,3007,0,1176
452,68062,41526,26536,13845,15433,7016,398,3188,0,1646
453,72938,43894,29044,15050,13901,10829,904,2854,0,356
454,58205,36671,21534,5932,14220,11435,361,1229,2673,821
455,72641,47436,25205,22532,6041,14991,0,2507,0,1365
456,74955,46700,28255,12649,18679,5209,449,565,0,9149
457,70329,44118,26211,19533,12244,8874,461,1812,0,1194
458,70242,41264,28978,13721,5640,18921,716,876,0,1390
459,57400,39602,17798,16944,12339,5759,0,906,3654,0
460,61187,32505,28682,7060,15668,7935,0,1462,0,380
461,69257,49083,20174,18874,17215,10224,0,1221,0,1549
462,63371,40785,22586,21223,11170,6907,591,435,0,459
463,75661,52343,23318,30257,7577,7919,0,2211,0,4379
464,74929,49985,24944,21269,12729,13664,1069,1086,0,168
465,72120,47530,24590,20523,14519,9546,582,1508,0,852
466,67127,41963,25164,5790,13741,18955,0,1875,0,1602
467,66573,44018,22555,19138,13317,7750,393,1497,0,1923
468,71604,49978,21626,26688,5672,13097,1087,2089,0,1345
470,51554,31072,20482,1993,17183,3309,0,358,5630,2599
471,77789,52287,25502,26298,11529,10732,0,3496,0,232
472,80563,53412,27151,33541,8150,10205,1516,0,0,0
473,77751,59268,18483,29461,2979,25370,572,669,0,217
474,78952,45907,33045,8305,16699,15810,0,1999,0,3094
475,73758,47971,25787,23604,13651,7800,734,0,0,2182
476,71467,41631,29836,19509,8459,8084,707,2405,0,2467
477,71306,46481,24825,26031,9077,5572,447,2050,0,3304
478,68157,48939,19218,24345,3116,20189,0,1289,0,0
480,73229,47128,26101,19691,15198,8541,0,1617,0,2081
481,72847,46758,26089,13281,19147,8111,0,2613,0,3606
482,63563,37506,26057,6279,16741,5994,0,2220,0,6272
483,68914,47468,21446,20901,14901,9434,451,406,0,1375
484,70873,50205,20668,28866,9806,8345,740,1351,0,1097
485,72566,48150,24416,26915,6446,10406,696,3146,0,541
486,72955,53687,19268,27470,11128,11659,1251,2179,0,0
488,77185,55220,21965,28228,7893,14228,0,2526,0,2345
489,76035,54369,21666,30155,5288,14913,735,2228,0,1050
490,70058,52835,17223,21533,9288,19228,758,2028,0,0
