PA_ID,log.earn,nonwhite,relig.christian,relig.refused,relig.none,relig.other,age,private,owns,female,married,education,socgrd,log.density
364,6.401751346,44.28311449,55.99866935,8.747040291,24.27450443,10.97978592,35,0.411982535,0.516339805,0.517856095,0.367182515,2.287412474,1.6043821919999999,4.236420326
365,6.461624414,38.00345306,53.97714943,8.812846131,28.60000189,8.610002547,35,0.434802862,0.49602285700000004,0.513458436,0.346356437,2.412147086,1.675359804,4.202197654
366,6.296188085,50.84610733,46.29066162,7.464749527,17.6007602,28.64382865,32,0.43816812200000005,0.465981793,0.495973431,0.38769580299999995,2.423397295,1.583363971,4.220132494
367,6.426650257,2.547722751,69.50798516,6.379523579,22.79614992,1.316341345,44,0.428547138,0.77531484,0.507985159,0.5524353879999999,2.1383833709999998,1.675550058,1.038778072
368,6.111023782,4.1557733180000005,59.20495796,7.097447665,31.56657325,2.131021122,35,0.389931433,0.580648705,0.5097428860000001,0.38623240700000006,2.059227274,1.310682992,2.811875698
370,6.160151912999999,20.35415942,57.33640794,6.794291681,25.88670379,9.982596589,28,0.312120495,0.33386621699999997,0.48556387100000004,0.206352023,2.330868954,1.545398773,3.5462013239999997
371,6.068425587999999,4.873960556,78.25656319,5.949323001000001,14.03413296,1.759980844,37,0.336516215,0.516995389,0.50398363,0.325911067,1.47421305,1.000254972,3.8394467239999996
372,6.217404186,15.29272904,68.28559251,6.441459656,17.95608791,7.316859925,35,0.333152849,0.56652227,0.504693938,0.353107419,2.054698865,1.3588022880000001,3.9809899210000004
373,6.146329258,5.912499862000001,79.63153186,5.650728432,13.02009123,1.697648475,38,0.342715369,0.596169905,0.52243834,0.380068918,1.643452202,1.14469728,3.78163082
375,6.20314262,2.0542802630000003,59.93845775,7.614007016,31.17484153,1.2726937040000001,42,0.336525329,0.706743192,0.5119699670000001,0.482153155,1.817145311,1.227471853,1.079618038
377,6.313548046,13.01410609,54.11738609,6.484366335,31.03138833,8.366859252000001,35,0.386825871,0.684360108,0.493188945,0.42945443200000005,2.281292655,1.592446141,2.02757937
378,6.171700597,1.3459255819999998,68.55343964,7.5285131860000005,22.93337462,0.98467255,49,0.33758861799999995,0.72452548,0.512370336,0.548298292,1.7447764430000001,1.299687593,-0.36984182
379,6.3110085929999995,1.343436605,69.83042059,7.734188105,21.31114699,1.124244317,47,0.43071676200000003,0.708779315,0.506640584,0.545185331,2.087113967,1.5249843980000002,-0.6056359029999999
380,6.202940293999999,45.11708288,49.42039678,6.223533811,15.95803814,28.39803127,34,0.407410848,0.6868668379999999,0.510192325,0.500325154,1.89592173,1.315642154,3.964100653
381,6.195425279,43.30822291,46.60192412,6.006534761,17.47504084,29.91650027,31,0.44574562,0.572792669,0.488246506,0.43935591799999996,1.9668947369999998,1.26880521,2.983178619
382,6.3568018639999995,3.174722306,67.59124244,6.864090578,23.80559249,1.739074495,44,0.44676057799999996,0.7806459309999999,0.511836857,0.521376042,2.3556348419999997,1.756742721,1.128501447
383,6.546785411,12.97926697,61.290164100000005,7.194654612999999,22.5311978,8.983983492,41,0.501663894,0.75460762,0.508607645,0.556902711,2.50964701,1.9963022719999999,1.713555874
384,6.1942012889999996,6.860706861000001,62.3070926,7.37945786,26.51127459,3.8021749560000004,40,0.439155395,0.709914787,0.5065768429999999,0.497634711,2.149293643,1.637966258,1.498016246
385,6.2367609029999995,1.893036802,80.06965235,5.3023360010000005,13.66367284,0.964338812,40,0.42770373700000003,0.7709472559999999,0.5033196879999999,0.50691464,1.8236534780000002,1.313727432,2.866568898
