population_size,sex,age,ethnicity,pa_id
33,female,Age 35 to 39,mixed,8
31,female,Age 40 to 44,mixed,8
19,female,Age 45 to 49,mixed,8
20,female,Age 50 to 54,mixed,8
9,female,Age 55 to 59,mixed,8
7,female,Age 60 to 64,mixed,8
4,female,Age 65 to 69,mixed,8
3,female,Age 70 to 74,mixed,8
1,female,Age 75 to 79,mixed,8
4,female,Age 80 to 84,mixed,8
1,female,Age 85 and over,mixed,8
424,male,Age 15 and below,asian,8
55,male,Age 16 to 17,asian,8
34,male,Age 18 to 19,asian,8
80,male,Age 20 to 24,asian,8
106,male,Age 25 to 29,asian,8
171,male,Age 30 to 34,asian,8
158,male,Age 35 to 39,asian,8
156,male,Age 40 to 44,asian,8
103,male,Age 45 to 49,asian,8
86,male,Age 50 to 54,asian,8
77,male,Age 55 to 59,asian,8
48,male,Age 60 to 64,asian,8
30,male,Age 65 to 69,asian,8
20,male,Age 70 to 74,asian,8
12,male,Age 75 to 79,asian,8
10,male,Age 80 to 84,asian,8
6,male,Age 85 and over,asian,8
349,female,Age 15 and below,asian,8
36,female,Age 16 to 17,asian,8
43,female,Age 18 to 19,asian,8
90,female,Age 20 to 24,asian,8
141,female,Age 25 to 29,asian,8
182,female,Age 30 to 34,asian,8
153,female,Age 35 to 39,asian,8
149,female,Age 40 to 44,asian,8
89,female,Age 45 to 49,asian,8
89,female,Age 50 to 54,asian,8
79,female,Age 55 to 59,asian,8
49,female,Age 60 to 64,asian,8
32,female,Age 65 to 69,asian,8
15,female,Age 70 to 74,asian,8
17,female,Age 75 to 79,asian,8
10,female,Age 80 to 84,asian,8
8,female,Age 85 and over,asian,8
75,male,Age 15 and below,black,8
17,male,Age 16 to 17,black,8
16,male,Age 18 to 19,black,8
13,male,Age 20 to 24,black,8
31,male,Age 25 to 29,black,8
22,male,Age 30 to 34,black,8
26,male,Age 35 to 39,black,8
48,male,Age 40 to 44,black,8
57,male,Age 45 to 49,black,8
41,male,Age 50 to 54,black,8
19,male,Age 55 to 59,black,8
6,male,Age 60 to 64,black,8
1,male,Age 65 to 69,black,8
3,male,Age 70 to 74,black,8
5,male,Age 75 to 79,black,8
1,male,Age 80 to 84,black,8
1,male,Age 85 and over,black,8
80,female,Age 15 and below,black,8
10,female,Age 16 to 17,black,8
11,female,Age 18 to 19,black,8
22,female,Age 20 to 24,black,8
29,female,Age 25 to 29,black,8
27,female,Age 30 to 34,black,8
32,female,Age 35 to 39,black,8
34,female,Age 40 to 44,black,8
50,female,Age 45 to 49,black,8
28,female,Age 50 to 54,black,8
19,female,Age 55 to 59,black,8
5,female,Age 60 to 64,black,8
6,female,Age 65 to 69,black,8
7,female,Age 70 to 74,black,8
4,female,Age 75 to 79,black,8
1,female,Age 80 to 84,black,8
0,female,Age 85 and over,black,8
27,male,Age 15 and below,other,8
2,male,Age 16 to 17,other,8
2,male,Age 18 to 19,other,8
7,male,Age 20 to 24,other,8
9,male,Age 25 to 29,other,8
20,male,Age 30 to 34,other,8
10,male,Age 35 to 39,other,8
13,male,Age 40 to 44,other,8
12,male,Age 45 to 49,other,8
6,male,Age 50 to 54,other,8
4,male,Age 55 to 59,other,8
4,male,Age 60 to 64,other,8
4,male,Age 65 to 69,other,8
2,male,Age 70 to 74,other,8
3,male,Age 75 to 79,other,8
2,male,Age 80 to 84,other,8
0,male,Age 85 and over,other,8
30,female,Age 15 and below,other,8
3,female,Age 16 to 17,other,8
6,female,Age 18 to 19,other,8
7,female,Age 20 to 24,other,8
8,female,Age 25 to 29,other,8
5,female,Age 30 to 34,other,8
21,female,Age 35 to 39,other,8
5,female,Age 40 to 44,other,8
7,female,Age 45 to 49,other,8
2,female,Age 50 to 54,other,8
8,female,Age 55 to 59,other,8
3,female,Age 60 to 64,other,8
3,female,Age 65 to 69,other,8
3,female,Age 70 to 74,other,8
2,female,Age 75 to 79,other,8
0,female,Age 80 to 84,other,8
0,female,Age 85 and over,other,8
7919,male,Age 15 and below,white,9
1105,male,Age 16 to 17,white,9
794,male,Age 18 to 19,white,9
1945,male,Age 20 to 24,white,9
2194,male,Age 25 to 29,white,9
2310,male,Age 30 to 34,white,9
2776,male,Age 35 to 39,white,9
3129,male,Age 40 to 44,white,9
3220,male,Age 45 to 49,white,9
2829,male,Age 50 to 54,white,9
2474,male,Age 55 to 59,white,9
2506,male,Age 60 to 64,white,9
1971,male,Age 65 to 69,white,9
1620,male,Age 70 to 74,white,9
1306,male,Age 75 to 79,white,9
978,male,Age 80 to 84,white,9
