year,electorate,votes,non_votes,con_votes,lab_votes,libdem_votes,green_votes,ukip_votes,plaid_votes,other_votes,pa_id
2010,74955,46700,28255,12649,18679,5209,449,565,0,9149,456
2010,70329,44118,26211,19533,12244,8874,461,1812,0,1194,457
2010,70242,41264,28978,13721,5640,18921,716,876,0,1390,458
2010,57400,39602,17798,16944,12339,5759,0,906,3654,0,459
2010,61187,32505,28682,7060,15668,7935,0,1462,0,380,460
2010,69257,49083,20174,18874,17215,10224,0,1221,0,1549,461
2010,63371,40785,22586,21223,11170,6907,591,435,0,459,462
2010,75661,52343,23318,30257,7577,7919,0,2211,0,4379,463
2010,74929,49985,24944,21269,12729,13664,1069,1086,0,168,464
2010,72120,47530,24590,20523,14519,9546,582,1508,0,852,465
2010,67127,41963,25164,5790,13741,18955,0,1875,0,1602,466
2010,66573,44018,22555,19138,13317,7750,393,1497,0,1923,467
2010,71604,49978,21626,26688,5672,13097,1087,2089,0,1345,468
2010,51554,31072,20482,1993,17183,3309,0,358,5630,2599,470
2010,77789,52287,25502,26298,11529,10732,0,3496,0,232,471
2010,80563,53412,27151,33541,8150,10205,1516,0,0,0,472
2010,77751,59268,18483,29461,2979,25370,572,669,0,217,473
2010,78952,45907,33045,8305,16699,15810,0,1999,0,3094,474
2010,73758,47971,25787,23604,13651,7800,734,0,0,2182,475
2010,71467,41631,29836,19509,8459,8084,707,2405,0,2467,476
2010,71306,46481,24825,26031,9077,5572,447,2050,0,3304,477
2010,68157,48939,19218,24345,3116,20189,0,1289,0,0,478
2010,73229,47128,26101,19691,15198,8541,0,1617,0,2081,480
2010,72847,46758,26089,13281,19147,8111,0,2613,0,3606,481
2010,63563,37506,26057,6279,16741,5994,0,2220,0,6272,482
2010,68914,47468,21446,20901,14901,9434,451,406,0,1375,483
2010,70873,50205,20668,28866,9806,8345,740,1351,0,1097,484
2010,72566,48150,24416,26915,6446,10406,696,3146,0,541,485
2010,72955,53687,19268,27470,11128,11659,1251,2179,0,0,486
2010,77185,55220,21965,28228,7893,14228,0,2526,0,2345,488
2010,76035,54369,21666,30155,5288,14913,735,2228,0,1050,489
2010,70058,52835,17223,21533,9288,19228,758,2028,0,0,490
2010,75284,47238,28046,18877,3386,20189,0,1757,0,3029,491
2010,74985,44556,30429,9940,23041,8992,0,2100,0,483,492
2010,77975,46081,31894,8209,24364,10242,0,1226,0,2040,493
2010,66944,45921,21023,17900,3751,19619,1308,2560,0,783,494
2010,75483,41533,33950,8497,16655,10930,0,1084,0,4367,495
2010,67430,48481,18949,23859,3690,17893,506,1392,0,1141,496
2010,75470,49282,26188,21108,12978,11093,734,1484,0,1885,497
