N,age,constituency,ethnicity,sex
26,Age 35 to 39,E14000531,black,male
48,Age 40 to 44,E14000531,black,male
57,Age 45 to 49,E14000531,black,male
41,Age 50 to 54,E14000531,black,male
19,Age 55 to 59,E14000531,black,male
6,Age 60 to 64,E14000531,black,male
1,Age 65 to 69,E14000531,black,male
3,Age 70 to 74,E14000531,black,male
5,Age 75 to 79,E14000531,black,male
1,Age 80 to 84,E14000531,black,male
1,Age 85 and over,E14000531,black,male
80,Age 15 and below,E14000531,black,female
10,Age 16 to 17,E14000531,black,female
11,Age 18 to 19,E14000531,black,female
22,Age 20 to 24,E14000531,black,female
29,Age 25 to 29,E14000531,black,female
27,Age 30 to 34,E14000531,black,female
32,Age 35 to 39,E14000531,black,female
34,Age 40 to 44,E14000531,black,female
50,Age 45 to 49,E14000531,black,female
28,Age 50 to 54,E14000531,black,female
19,Age 55 to 59,E14000531,black,female
5,Age 60 to 64,E14000531,black,female
6,Age 65 to 69,E14000531,black,female
7,Age 70 to 74,E14000531,black,female
4,Age 75 to 79,E14000531,black,female
1,Age 80 to 84,E14000531,black,female
0,Age 85 and over,E14000531,black,female
27,Age 15 and below,E14000531,other,male
2,Age 16 to 17,E14000531,other,male
2,Age 18 to 19,E14000531,other,male
7,Age 20 to 24,E14000531,other,male
9,Age 25 to 29,E14000531,other,male
20,Age 30 to 34,E14000531,other,male
10,Age 35 to 39,E14000531,other,male
13,Age 40 to 44,E14000531,other,male
12,Age 45 to 49,E14000531,other,male
6,Age 50 to 54,E14000531,other,male
4,Age 55 to 59,E14000531,other,male
4,Age 60 to 64,E14000531,other,male
4,Age 65 to 69,E14000531,other,male
2,Age 70 to 74,E14000531,other,male
3,Age 75 to 79,E14000531,other,male
2,Age 80 to 84,E14000531,other,male
0,Age 85 and over,E14000531,other,male
30,Age 15 and below,E14000531,other,female
3,Age 16 to 17,E14000531,other,female
6,Age 18 to 19,E14000531,other,female
7,Age 20 to 24,E14000531,other,female
8,Age 25 to 29,E14000531,other,female
5,Age 30 to 34,E14000531,other,female
21,Age 35 to 39,E14000531,other,female
5,Age 40 to 44,E14000531,other,female
7,Age 45 to 49,E14000531,other,female
2,Age 50 to 54,E14000531,other,female
8,Age 55 to 59,E14000531,other,female
3,Age 60 to 64,E14000531,other,female
3,Age 65 to 69,E14000531,other,female
3,Age 70 to 74,E14000531,other,female
2,Age 75 to 79,E14000531,other,female
0,Age 80 to 84,E14000531,other,female
0,Age 85 and over,E14000531,other,female
7919,Age 15 and below,E14000532,white,male
1105,Age 16 to 17,E14000532,white,male
794,Age 18 to 19,E14000532,white,male
1945,Age 20 to 24,E14000532,white,male
2194,Age 25 to 29,E14000532,white,male
2310,Age 30 to 34,E14000532,white,male
2776,Age 35 to 39,E14000532,white,male
3129,Age 40 to 44,E14000532,white,male
3220,Age 45 to 49,E14000532,white,male
2829,Age 50 to 54,E14000532,white,male
2474,Age 55 to 59,E14000532,white,male
2506,Age 60 to 64,E14000532,white,male
1971,Age 65 to 69,E14000532,white,male
1620,Age 70 to 74,E14000532,white,male
1306,Age 75 to 79,E14000532,white,male
978,Age 80 to 84,E14000532,white,male
764,Age 85 and over,E14000532,white,male
7435,Age 15 and below,E14000532,white,female
1004,Age 16 to 17,E14000532,white,female
730,Age 18 to 19,E14000532,white,female
1730,Age 20 to 24,E14000532,white,female
2207,Age 25 to 29,E14000532,white,female
2483,Age 30 to 34,E14000532,white,female
2973,Age 35 to 39,E14000532,white,female
3253,Age 40 to 44,E14000532,white,female
3473,Age 45 to 49,E14000532,white,female
2918,Age 50 to 54,E14000532,white,female
2373,Age 55 to 59,E14000532,white,female
2619,Age 60 to 64,E14000532,white,female
2177,Age 65 to 69,E14000532,white,female
1869,Age 70 to 74,E14000532,white,female
1629,Age 75 to 79,E14000532,white,female
1356,Age 80 to 84,E14000532,white,female
1468,Age 85 and over,E14000532,white,female
557,Age 15 and below,E14000532,mixed,male
38,Age 16 to 17,E14000532,mixed,male
42,Age 18 to 19,E14000532,mixed,male
59,Age 20 to 24,E14000532,mixed,male
55,Age 25 to 29,E14000532,mixed,male
51,Age 30 to 34,E14000532,mixed,male
41,Age 35 to 39,E14000532,mixed,male
40,Age 40 to 44,E14000532,mixed,male
24,Age 45 to 49,E14000532,mixed,male
31,Age 50 to 54,E14000532,mixed,male
11,Age 55 to 59,E14000532,mixed,male
13,Age 60 to 64,E14000532,mixed,male
7,Age 65 to 69,E14000532,mixed,male
5,Age 70 to 74,E14000532,mixed,male
4,Age 75 to 79,E14000532,mixed,male
4,Age 80 to 84,E14000532,mixed,male
2,Age 85 and over,E14000532,mixed,male
541,Age 15 and below,E14000532,mixed,female
54,Age 16 to 17,E14000532,mixed,female
29,Age 18 to 19,E14000532,mixed,female
58,Age 20 to 24,E14000532,mixed,female
61,Age 25 to 29,E14000532,mixed,female
43,Age 30 to 34,E14000532,mixed,female
57,Age 35 to 39,E14000532,mixed,female
43,Age 40 to 44,E14000532,mixed,female
55,Age 45 to 49,E14000532,mixed,female
27,Age 50 to 54,E14000532,mixed,female
16,Age 55 to 59,E14000532,mixed,female
4,Age 60 to 64,E14000532,mixed,female
8,Age 65 to 69,E14000532,mixed,female
3,Age 70 to 74,E14000532,mixed,female
2,Age 75 to 79,E14000532,mixed,female
3,Age 80 to 84,E14000532,mixed,female
3,Age 85 and over,E14000532,mixed,female
735,Age 15 and below,E14000532,asian,male
85,Age 16 to 17,E14000532,asian,male
44,Age 18 to 19,E14000532,asian,male
86,Age 20 to 24,E14000532,asian,male
144,Age 25 to 29,E14000532,asian,male
216,Age 30 to 34,E14000532,asian,male
255,Age 35 to 39,E14000532,asian,male
277,Age 40 to 44,E14000532,asian,male
237,Age 45 to 49,E14000532,asian,male
153,Age 50 to 54,E14000532,asian,male
119,Age 55 to 59,E14000532,asian,male
75,Age 60 to 64,E14000532,asian,male
52,Age 65 to 69,E14000532,asian,male
56,Age 70 to 74,E14000532,asian,male
32,Age 75 to 79,E14000532,asian,male
10,Age 80 to 84,E14000532,asian,male
7,Age 85 and over,E14000532,asian,male
700,Age 15 and below,E14000532,asian,female
79,Age 16 to 17,E14000532,asian,female
59,Age 18 to 19,E14000532,asian,female
85,Age 20 to 24,E14000532,asian,female
170,Age 25 to 29,E14000532,asian,female
293,Age 30 to 34,E14000532,asian,female
330,Age 35 to 39,E14000532,asian,female
317,Age 40 to 44,E14000532,asian,female
217,Age 45 to 49,E14000532,asian,female
146,Age 50 to 54,E14000532,asian,female
103,Age 55 to 59,E14000532,asian,female
70,Age 60 to 64,E14000532,asian,female
55,Age 65 to 69,E14000532,asian,female
47,Age 70 to 74,E14000532,asian,female
22,Age 75 to 79,E14000532,asian,female
16,Age 80 to 84,E14000532,asian,female
9,Age 85 and over,E14000532,asian,female
87,Age 15 and below,E14000532,black,male
15,Age 16 to 17,E14000532,black,male
11,Age 18 to 19,E14000532,black,male
17,Age 20 to 24,E14000532,black,male
39,Age 25 to 29,E14000532,black,male
31,Age 30 to 34,E14000532,black,male
38,Age 35 to 39,E14000532,black,male
35,Age 40 to 44,E14000532,black,male
65,Age 45 to 49,E14000532,black,male
39,Age 50 to 54,E14000532,black,male
22,Age 55 to 59,E14000532,black,male
7,Age 60 to 64,E14000532,black,male
3,Age 65 to 69,E14000532,black,male
5,Age 70 to 74,E14000532,black,male
6,Age 75 to 79,E14000532,black,male
3,Age 80 to 84,E14000532,black,male
0,Age 85 and over,E14000532,black,male
107,Age 15 and below,E14000532,black,female
13,Age 16 to 17,E14000532,black,female
8,Age 18 to 19,E14000532,black,female
15,Age 20 to 24,E14000532,black,female
32,Age 25 to 29,E14000532,black,female
37,Age 30 to 34,E14000532,black,female
49,Age 35 to 39,E14000532,black,female
35,Age 40 to 44,E14000532,black,female
69,Age 45 to 49,E14000532,black,female
26,Age 50 to 54,E14000532,black,female
16,Age 55 to 59,E14000532,black,female
8,Age 60 to 64,E14000532,black,female
6,Age 65 to 69,E14000532,black,female
10,Age 70 to 74,E14000532,black,female
5,Age 75 to 79,E14000532,black,female
3,Age 80 to 84,E14000532,black,female
1,Age 85 and over,E14000532,black,female
120,Age 15 and below,E14000532,other,male
14,Age 16 to 17,E14000532,other,male
6,Age 18 to 19,E14000532,other,male
19,Age 20 to 24,E14000532,other,male
28,Age 25 to 29,E14000532,other,male
26,Age 30 to 34,E14000532,other,male
28,Age 35 to 39,E14000532,other,male
35,Age 40 to 44,E14000532,other,male
31,Age 45 to 49,E14000532,other,male
33,Age 50 to 54,E14000532,other,male
29,Age 55 to 59,E14000532,other,male
20,Age 60 to 64,E14000532,other,male
11,Age 65 to 69,E14000532,other,male
3,Age 70 to 74,E14000532,other,male
4,Age 75 to 79,E14000532,other,male
1,Age 80 to 84,E14000532,other,male
3,Age 85 and over,E14000532,other,male
100,Age 15 and below,E14000532,other,female
8,Age 16 to 17,E14000532,other,female
9,Age 18 to 19,E14000532,other,female
13,Age 20 to 24,E14000532,other,female
29,Age 25 to 29,E14000532,other,female
29,Age 30 to 34,E14000532,other,female
36,Age 35 to 39,E14000532,other,female
39,Age 40 to 44,E14000532,other,female
30,Age 45 to 49,E14000532,other,female
22,Age 50 to 54,E14000532,other,female
18,Age 55 to 59,E14000532,other,female
10,Age 60 to 64,E14000532,other,female
7,Age 65 to 69,E14000532,other,female
4,Age 70 to 74,E14000532,other,female
4,Age 75 to 79,E14000532,other,female
0,Age 80 to 84,E14000532,other,female
4,Age 85 and over,E14000532,other,female
7402,Age 15 and below,E14000533,white,male
1086,Age 16 to 17,E14000533,white,male
940,Age 18 to 19,E14000533,white,male
2350,Age 20 to 24,E14000533,white,male
2237,Age 25 to 29,E14000533,white,male
2275,Age 30 to 34,E14000533,white,male
2812,Age 35 to 39,E14000533,white,male
3279,Age 40 to 44,E14000533,white,male
3179,Age 45 to 49,E14000533,white,male
2869,Age 50 to 54,E14000533,white,male
2748,Age 55 to 59,E14000533,white,male
3196,Age 60 to 64,E14000533,white,male
2473,Age 65 to 69,E14000533,white,male
