PA_ID,electorate,votes,non_votes,con_votes,lab_votes,libdem_votes,green_votes,ukip_votes,plaid_votes,other_votes
199,71534,48597,22937,23756,11762,2901,2275,7304,0,599
200,78000,56458,21542,28329,5633,12199,3242,7055,0,0
201,72930,50224,22706,21737,15443,1572,1295,10177,0,0
204,60717,37992,22725,11704,15885,478,517,9113,0,295
205,60363,38210,22153,16723,12453,828,970,7236,0,0
206,76575,51362,25213,11650,27772,5055,4844,1606,0,435
214,68725,45669,23056,10157,21596,5153,2687,5232,0,844
215,65359,40146,25213,8403,22047,2046,1246,6404,0,0
216,69816,42818,26998,10018,20074,3894,1567,7265,0,0
217,44394,28913,15481,6550,3904,1153,981,3126,11811,1388
218,71422,50894,20528,21728,22002,3106,1841,1926,0,291
219,73881,48510,25371,14419,26745,1575,1635,3922,0,214
220,65606,43321,22285,9387,28147,1550,2007,1769,0,461
221,61659,34624,27035,4478,21132,834,733,6491,0,956
222,87382,52290,35092,6311,40563,856,1299,2622,0,639
225,78262,52907,25355,20934,4143,20201,1351,6139,0,139
226,79609,55505,24104,23464,7181,14317,1513,8783,0,247
227,68569,47352,21217,24167,11193,4289,1624,5778,0,301
233,66016,41338,24678,9969,0,897,1358,3366,0,25748
234,69223,46727,22496,16041,22316,1563,990,5594,0,223
235,79143,57797,21346,27978,19488,2640,1261,6430,0,0
236,63998,43157,20841,15700,18393,1308,1275,6481,0,0
237,68118,46137,21981,19086,20172,1059,1303,4133,0,384
238,64937,45812,19125,22624,17871,1518,1690,2109,0,0
239,73447,49348,24099,27027,7962,3448,1782,9049,0,80
240,78633,57143,21490,33309,8866,5002,2116,7117,0,733
241,71943,48322,23621,20636,17052,1658,1184,7792,0,0
242,70397,42617,27780,11684,21209,972,941,7368,0,443
243,79894,56976,22918,35845,7229,5372,2355,5551,0,624
244,76968,54018,22950,17879,25062,2321,3491,5075,0,190
246,77114,54700,22414,30689,7800,4814,2129,8427,0,841
247,69523,45803,23720,24895,7403,3039,1768,8243,0,455
248,82340,49405,32935,14382,0,1579,1390,6209,0,25845
251,71310,49101,22209,22920,13082,3581,2257,7261,0,0
252,72530,50759,21771,25835,20173,1662,1357,1732,0,0
253,83651,55010,28641,26323,7939,4882,2956,12526,0,384
254,69865,49520,20345,23191,12204,2630,2703,8792,0,0
256,65679,43557,22122,21406,8182,1623,1381,5569,0,5396
257,74686,49261,25425,25949,10500,3290,1290,7727,0,505
258,73719,48983,24736,6693,33839,2279,1690,4482,0,0
259,64524,37949,26575,5502,21549,2585,1548,6765,0,0
260,70000,47998,22002,17321,20307,1906,1534,6930,0,0
261,70984,47078,23906,22590,12060,1707,1133,9199,0,389
270,82968,52575,30393,23837,16586,2828,1485,7497,0,342
272,73268,47665,25603,26364,6926,3298,1707,9266,0,104
273,61820,42758,19062,15862,15835,1552,1161,4773,3051,524
274,81150,53755,27395,28399,9070,3263,1872,9410,0,1741
275,72043,50139,21904,23484,15114,1111,1124,9306,0,0
276,59200,33731,25469,8874,13414,1680,783,8417,0,563
277,69793,44469,25324,19089,12935,1030,978,10270,0,167
278,73315,46716,26599,12438,24384,2645,2991,3888,0,370
279,75733,53986,21747,30802,6534,8354,2558,4774,0,964
280,88153,49887,38266,7349,31357,2492,7281,1085,0,323
281,84971,47580,37391,6420,0,2186,5519,1818,0,31637
282,66048,43818,22230,18933,15851,905,849,7280,0,0
283,70462,43753,26709,17078,17506,1629,1142,5621,0,777
284,71195,48757,22438,26414,10219,3055,1809,6781,0,479
285,72818,45023,27795,8007,28292,1097,1017,6333,0,277
286,72254,47960,24294,17463,23981,2224,2105,2105,0,82
287,71074,51649,19425,31334,5220,5732,3176,6187,0,0
288,76918,54000,22918,35573,5290,5657,2364,4732,0,384
289,79223,55195,24028,32052,7342,5151,2541,8109,0,0
290,80195,53964,26231,22839,23977,3039,2387,1532,0,190
291,77760,52471,25289,27675,8043,7037,2177,7539,0,0
292,67994,44251,23743,21623,13273,904,954,7208,0,289
293,76408,53376,23032,28153,5409,11782,2351,5681,0,0
294,70981,49000,21981,24668,19911,1037,846,2333,0,205
295,69644,46603,23041,19677,0,1567,1310,2047,0,22002
296,69947,39490,30457,8256,14076,761,1341,11052,0,4004
297,69290,48432,20858,24722,9548,3576,2122,8464,0,0
298,75095,50927,24168,22686,0,1614,1951,6786,0,17890
299,70573,44828,25745,23159,7149,2929,2352,9239,0,0
300,74874,45056,29818,11143,26843,888,794,5388,0,0
301,63098,43219,19879,17882,7584,11330,1140,5283,0,0
302,74616,49633,24983,26245,11825,2402,1660,7249,0,252
303,72714,42406,30308,9694,21772,1357,0,8565,0,1018
304,75285,49630,25655,24328,20604,1088,1015,2595,0,0
305,77946,55236,22710,32292,6917,6205,3815,6007,0,0
306,71485,47257,24228,24844,6042,5002,3415,7954,0,0
307,67926,48023,19903,26716,5478,5768,3341,6720,0,0
308,80610,56277,24333,31593,10084,4385,2681,7534,0,0
309,74000,52287,21713,28949,9869,3952,2789,6728,0,0
310,79668,57267,22401,32608,9345,5872,2583,6603,0,256
311,73767,50091,23676,29696,11235,2777,0,6383,0,0
312,59708,43345,16363,22834,10803,2961,2445,4302,0,0
313,79989,48538,31451,9268,20926,1607,1110,15627,0,0
314,73336,50789,22547,22836,17942,2389,1811,5811,0,0
315,80333,55375,24958,31488,11433,4484,3053,4917,0,0
316,86764,54917,31847,12014,29062,3555,7013,2740,0,533
317,79331,55236,24095,27051,11103,1501,1411,13977,0,193
318,79247,57785,21462,5347,29417,18359,3146,1271,0,245
319,79085,56925,22160,32627,6499,6647,2198,7969,0,985
320,68324,38489,29835,7105,21218,791,1095,8280,0,0
321,73505,52214,21291,20846,22082,1861,3569,3265,0,591
322,65269,40478,24791,10841,0,2365,2798,5948,0,18526
323,65710,35144,30566,5593,18180,2294,806,7861,0,410
324,64148,35336,28812,5306,18661,3175,2066,5762,0,366
325,59100,31803,27297,5561,15646,3169,943,6313,0,171
326,82593,55927,26666,29652,10249,4375,2178,9473,0,0
327,68341,42887,25454,13676,18076,859,1122,9154,0,0
328,75294,48932,26362,20874,21463,1130,1023,4355,0,87
329,91987,51912,40075,13455,0,1014,1506,2705,0,33232
332,74499,48694,25805,21794,18061,1400,1736,5703,0,0
333,108804,70300,38504,28591,8984,5235,9404,14888,0,3198
334,73326,49234,24092,8465,29659,3984,5043,1971,0,112
335,68127,44270,23857,9839,22547,4829,3371,3375,0,309
336,55697,35401,20296,5366,0,950,659,6932,3794,17700
337,64002,38564,25438,6584,21464,1238,1310,7583,0,385
338,68865,49123,19742,21766,18713,1321,1661,5662,0,0
