PA_ID,voter_share,non_voter_share,con_vote_share,lab_vote_share,libdem_vote_share,green_vote_share,ukip_vote_share,plaid_vote_share,other_vote_share
278,0.6289300493212601,0.37106995067873993,0.2454355637564339,0.4919393998251918,0.1820433135864815,0.025589977663397104,0.0,0.0,0.05499174516849568
279,0.7208816584935523,0.27911834150644765,0.5330141990749906,0.05060557525149819,0.3929670487879497,0.0,0.018374214911728182,0.0,0.0050389619738333905
280,0.628649906638162,0.371350093361838,0.14547685155291534,0.5499881621144616,0.23873786616732312,0.04590947246077355,0.0,0.0,0.019887647704526376
281,0.588377424801966,0.4116225751980341,0.13533062672079893,0.5573755191562836,0.22399552008959822,0.034835969947267724,0.015189696206075878,0.0,0.03327266787997574
282,0.6904840406324085,0.3095159593675914,0.4119011346324382,0.3659019077286887,0.1481388844675868,0.0,0.0642124650401328,0.0,0.009845608131153505
283,0.6188547882921285,0.3811452117078716,0.33993800941338537,0.37373435885661804,0.19136723682700035,0.0,0.015015497646653657,0.0,0.07994489725634256
284,0.6937256241637487,0.30627437583625133,0.5024108993167409,0.15655456839772658,0.26435767486714407,0.013726737386379959,0.0,0.0,0.06295012003200853
285,0.600441565232548,0.399558434767452,0.2017272243456384,0.5767816536842615,0.13832309255406647,0.015651458706275097,0.029706323479607142,0.0,0.03781024723015144
286,0.6558854425830707,0.3441145574169293,0.3637570597656579,0.43854842788502063,0.15946640815982466,0.014667453426620585,0.011611733962741297,0.0,0.011948916800134874
287,0.7101519470814536,0.28984805291854643,0.5677845548258862,0.07878480815324357,0.30477229767913167,0.0,0.028781885145273495,0.0,0.01987645419646511
288,0.7332677710676492,0.2667322289323508,0.60588601975859,0.09771623944539942,0.25459491112412397,0.0,0.04180282967188651,0.0,0.0
289,0.6948562487776256,0.30514375122237436,0.5830518651955265,0.1309765067927644,0.23435037153794192,0.0,0.05162125647376717,0.0,0.0
290,0.6572107548554863,0.3427892451445137,0.3273257354890008,0.32812085873310365,0.31219946234523493,0.014369012911286963,0.007724054371284692,0.0,0.010260876150088978
291,0.7051734538034062,0.2948265461965938,0.4894712894712895,0.12705432705432707,0.3111657111657112,0.0,0.02660842660842661,0.0,0.0457002457002457
292,0.6492461121879762,0.3507538878120237,0.4487670358721911,0.3365239983590866,0.13651488217329869,0.0,0.03625962897123843,0.0,0.04193445462418524
293,0.7107276618512574,0.28927233814874265,0.4574283886024015,0.06423382391688938,0.4378740542778635,0.0,0.01987428012195581,0.0,0.020589453080889827
294,0.6808395972202524,0.31916040277974755,0.446506686664167,0.3756197142023914,0.14269049702120568,0.016518768487272423,0.018664333624963548,0.0,0.0
295,0.6726959768941273,0.32730402310587275,0.3679417122040073,0.43609593199757135,0.16172261254228468,0.01355277994622257,0.02068696330991413,0.0,0.0
296,0.5548188663368492,0.4451811336631509,0.2813137388211914,0.4253700120286596,0.17083311542283353,0.0,0.07013231525547826,0.0,0.05235081847183725
297,0.6926480358480698,0.3073519641519302,0.4694081632653061,0.19946938775510203,0.23579591836734695,0.018551020408163265,0.051571428571428574,0.0,0.02520408163265306
298,0.6466831104764378,0.35331688952356227,0.4108885052394909,0.3708796723812583,0.15708435379612157,0.0,0.028044324888585537,0.0,0.0331031436945437
299,0.6302288191553501,0.3697711808446499,0.5109673598615129,0.17714051431565042,0.2339931211990069,0.0,0.059472017857549596,0.0,0.01842698676628021
300,0.6070965812817701,0.39290341871822987,0.2944156483805146,0.5482796632033211,0.08738888758589958,0.008161925088538123,0.0,0.0,0.061753875741726666
301,0.6738523274478331,0.3261476725521669,0.33619970939234417,0.1246754484171411,0.48795883852218863,0.0,0.051166003668326146,0.0,0.0
302,0.679995051682428,0.32000494831757204,0.49970689899132825,0.20810171615694043,0.2287198560772978,0.0,0.025348183784439367,0.0,0.03812334498999414
303,0.5803394138360117,0.41966058616398827,0.24320255474452554,0.4677463503649635,0.12926551094890512,0.0,0.0,0.0,0.15978558394160583
304,0.6357566867279931,0.36424331327200693,0.42340535644973476,0.4211195928753181,0.12364687109155993,0.01117005218441368,0.020658127398973564,0.0,0.0
305,0.7319174541525922,0.2680825458474078,0.5615470852017937,0.10902466367713004,0.2516068759342302,0.024813153961136022,0.033949925261584454,0.0,0.01905829596412556
306,0.6717624026325655,0.3282375973674345,0.4622889150699655,0.07246646410781092,0.41100845373183686,0.0,0.03385626588950208,0.0,0.020379901200884645
307,0.7105428255608999,0.2894571744391002,0.5178060881264716,0.07090901446350488,0.3099562731247898,0.03222754793138244,0.056781870164816686,0.0,0.012319206189034645
308,0.7058081290865292,0.2941918709134707,0.5383101287538148,0.13760225364320927,0.25954818787583295,0.0,0.03098759412752587,0.0,0.03355183559961717
309,0.6984072022160664,0.3015927977839335,0.5353495290034705,0.16442240951908776,0.23403073872087257,0.017352503718393655,0.04115022310361924,0.0,0.007694595934556272
310,0.7252581535630304,0.27474184643696964,0.5422555066079295,0.11499559471365639,0.27934801762114536,0.0,0.02555066079295154,0.0,0.03785022026431718
311,0.6470290321256006,0.35297096787439947,0.5601015443198646,0.18766659614977788,0.17368309710175586,0.012777660249629787,0.03621747408504337,0.0,0.029553628093928495
312,0.7203943008614977,0.2796056991385023,0.4322378860704183,0.18979831198399374,0.2991283950049445,0.0,0.0,0.0,0.07883540694064348
313,0.5753327262975391,0.424667273702461,0.271609756097561,0.4010623306233062,0.22707859078590786,0.0,0.026341463414634145,0.0,0.07390785907859078
314,0.7044277757563884,0.2955722242436116,0.408983451536643,0.3160696902874625,0.2183880644456364,0.01831654647674673,0.03357371317321255,0.0,0.004668534080298786
315,0.7407753449513209,0.2592246550486791,0.5459813186612317,0.13550368325808398,0.26683970972636045,0.014751311532345037,0.030398303690569763,0.0,0.006525673131409143
316,0.6313205411087878,0.3686794588912122,0.20373657340481985,0.4610880345477502,0.2791633881681275,0.027081922816519974,0.010741276144119747,0.0,0.01818880491866274
317,0.6797204221676194,0.3202795778323806,0.5144970968346132,0.207866641693201,0.13908971717550103,0.010151713804083161,0.05334332271961041,0.0,0.0750515077729912
318,0.6989637832071925,0.30103621679280745,0.16667272264815958,0.3401039206424185,0.46500853893390504,0.02290977798771847,0.0,0.0,0.005305039787798408
319,0.7199345056985199,0.2800654943014801,0.5273365448326498,0.07501656488959725,0.32211099371429597,0.010207553589656346,0.05084078007199012,0.0,0.014487562901810499
320,0.5532017052481485,0.44679829475185145,0.21427632098051078,0.5033271087030852,0.13918623918360906,0.0,0.026879882170379527,0.0,0.11633044896241551
321,0.6946319018404908,0.3053680981595092,0.36720929765752025,0.32971356309841626,0.2256167325719103,0.051546598687247834,0.024207631626487886,0.0,0.0017061763584174713
322,0.6110558219487922,0.3889441780512078,0.2776872964169381,0.3880416543282993,0.2473349126443589,0.04049452176488007,0.0,0.0,0.04644161484552364
323,0.5062046497852806,0.4937953502147194,0.16577931195881113,0.47937631640533584,0.22788439035806224,0.0,0.08030072548560731,0.0,0.046659255792183475
324,0.5195062576074405,0.48049374239255954,0.13111651797783186,0.39181760836262053,0.37256315520711303,0.014358234958397165,0.04079180559310324,0.0,0.049352677900934186
325,0.550171137189159,0.449828862810841,0.20190445960958578,0.42463101095064276,0.24237422631328362,0.0,0.05357879701634661,0.0,0.07751150611014125
326,0.6494488792082052,0.35055112079179485,0.4886300814506321,0.11023476946891239,0.28926031032322264,0.012014889617808572,0.06003759259941768,0.0,0.03982235654000663
327,0.6348016244923461,0.3651983755076539,0.33841863517060367,0.41083145856767905,0.11794619422572178,0.010850206224221972,0.03470659917510311,0.0,0.08724690663667041
328,0.6496711435361742,0.3503288564638258,0.4573992938874474,0.34246458803011615,0.12688757497128758,0.012165553617763409,0.018524820281594283,0.0,0.04255816921179123
329,0.5937253537462306,0.4062746462537694,0.2737590592096267,0.4942470356117286,0.16954152097048308,0.025766247973276552,0.02211326209685296,0.0,0.014572874138032077
332,0.6195195987857991,0.38048040121420085,0.3913636266803008,0.34707398649368354,0.18227136192241325,0.016510087130653373,0.029079056688183037,0.0,0.03370188108476598
333,0.6392168992558359,0.36078310074416403,0.4669532050552203,0.11626152795172492,0.3171325287487191,0.013250028464078334,0.0346550153706023,0.0,0.051747694409655015
334,0.6540612751214786,0.3459387248785214,0.14227678771827446,0.5448669030838982,0.2665305023118014,0.030255420388741752,0.016070386497284195,0.0,0.0
335,0.6438285291943828,0.3561714708056172,0.19398461715072896,0.4226150843760762,0.3406727126621513,0.01630122833199403,0.016094593043278614,0.0,0.010331764435770864
336,0.6321583494331644,0.36784165056683554,0.1399492561411602,0.49212893553223386,0.10370776150386345,0.0,0.026813516318763695,0.13026179218083267,0.10713873832314612
337,0.6027039627039628,0.3972960372960373,0.20632219471947194,0.5391398514851485,0.18468956270627063,0.0,0.0,0.0,0.06984839108910891
338,0.7237794606407357,0.27622053935926427,0.41942044787385724,0.3577748888702508,0.14801224524029188,0.0,0.030822779501803236,0.0,0.043969638513796865
339,0.7524781703489637,0.24752182965103633,0.5357105985835519,0.143482480229605,0.2765377547438624,0.01172802543825236,0.02506658958105346,0.0,0.007474551423674919
340,0.5327775672603259,0.4672224327396741,0.5005689900426743,0.255448079658606,0.1955049786628734,0.021422475106685632,0.021450924608819345,0.0,0.005604551920341394
341,0.6876670928745786,0.3123329071254214,0.49118914807302233,0.29904073698444894,0.1584263015551048,0.0,0.0,0.0,0.051343813387423935
343,0.7040744621833199,0.29592553781668,0.36539370699164786,0.09344959815096916,0.49776750538425174,0.00971791773913957,0.025389154453607888,0.0,0.008282117280383814
344,0.7218999110923585,0.27810008890764154,0.4041664927149,0.35312904437857473,0.16849663925186825,0.007994823195424373,0.0318957959337035,0.0,0.03431720452552916
346,0.5612839977879442,0.4387160022120557,0.08965918760356487,0.7087196023108961,0.13354830041649873,0.0,0.025639303148372074,0.0,0.04243360652066819
349,0.6565043678472269,0.34349563215277307,0.3618509273203639,0.4514471974088668,0.13560126255853774,0.010005570111195924,0.03661832360283044,0.0,0.004476718998205186
350,0.633743451223675,0.36625654877632496,0.3607409662537177,0.35294255403854713,0.19126015784173672,0.04421442120793424,0.02388702840682888,0.0,0.026954872251235332
351,0.460143233332513,0.539856766667487,0.20166336845483232,0.4929667861154196,0.20829544846766862,0.0,0.0,0.0,0.09707439696207948
352,0.5844539243871526,0.4155460756128474,0.231745695924682,0.5039536667283738,0.17501917330018776,0.0,0.0,0.0,0.08928146404675641
353,0.700083948217205,0.299916051782795,0.33116650888818766,0.4267802671715578,0.19585568528452718,0.0,0.017713263910802565,0.0,0.028484274744924792
354,0.664887842321748,0.335112157678252,0.2656210473058437,0.21001310857116573,0.4749672285720856,0.011682726582802474,0.01379849596393993,0.0,0.023917393004162547
355,0.5745037285220821,0.42549627147791796,0.19717691990090835,0.4229201073492981,0.24187138728323698,0.04727497935590421,0.029417836498761354,0.0,0.061338769611891
356,0.6575918669333845,0.3424081330666155,0.24423377435149496,0.5376393374309824,0.1420356287113241,0.015272424210855298,0.015105740181268883,0.0,0.045713095114074384
357,0.6106122448979592,0.3893877551020408,0.21360665478312538,0.45579747050335284,0.26888634241575415,0.016339869281045753,0.015278838808250574,0.0,0.030090824208471267
358,0.5519106317411402,0.4480893682588598,0.2715877048493816,0.383734889304559,0.22633239342248526,0.01783969401714174,0.02465172115357771,0.0,0.07585359725285463
359,0.7294887456646587,0.2705112543353413,0.44554588851247307,0.3009701262704034,0.16628811210348013,0.0,0.02182784108407761,0.0,0.06536803202956576
360,0.712186655879321,0.2878133441206791,0.49471389046668013,0.2087326163035711,0.210271726185023,0.0,0.036425600527694814,0.0,0.04985616651703098
361,0.584061236051276,0.41593876394872403,0.20941983217540378,0.4803527925651899,0.18156185148425516,0.0,0.034625101506812236,0.0,0.09404042226833889
362,0.7289980788263375,0.27100192117366245,0.3673734227759144,0.05007187350263536,0.5200447212905287,0.014554384283660756,0.03449928126497365,0.0,0.013456316882287175
363,0.6146917593724835,0.38530824062751645,0.13466763706938378,0.5369238233867055,0.2336972343522562,0.06724890829694323,0.0,0.0,0.027462396894711305
364,0.6328155811060886,0.36718441889391135,0.2361034540616985,0.4306431122510127,0.2816462523071023,0.014957213739543134,0.018480788130108585,0.0,0.018169179510534768
365,0.652371707571499,0.3476282924285011,0.2551523496491072,0.41087767611264103,0.281447099582482,0.020676023807408725,0.024806786888158478,0.0,0.007040063960202541
366,0.6320171228025999,0.3679828771974001,0.2223162927363729,0.436041734106925,0.2762767997211086,0.013994372369829927,0.026893099927787045,0.0,0.024477701137976544
367,0.7103711459510098,0.28962885404899014,0.5439559373969707,0.19839807613986774,0.20101623256986598,0.0,0.05662975389329558,0.0,0.0
368,0.6217160728855045,0.3782839271144955,0.3753854902561186,0.3522451389952101,0.20244526585157804,0.0,0.021959274731523808,0.0,0.04796483016556943
370,0.5205462912032627,0.47945370879673727,0.1093528517306255,0.5927166825597279,0.2274425916857813,0.0349217803664854,0.01737068632251746,0.0,0.018195407334862503
371,0.5483773078643072,0.45162269213569284,0.06526867627785059,0.7196446774428426,0.14244939566040485,0.0,0.026154070190767438,0.0,0.046483180428134555
372,0.6064493425893343,0.39355065741066575,0.07464261222767316,0.5309911905892283,0.3419581157356122,0.01577253784881574,0.023474178403755867,0.0,0.013161365194914808
373,0.5672616594274119,0.4327383405725881,0.09252738654147105,0.6414319248826291,0.12536329085624862,0.0,0.03054437737536329,0.0,0.11013302034428794
375,0.6733109261822169,0.3266890738177831,0.14364272176396786,0.424868529937802,0.10416166146125304,0.0,0.027949067029710898,0.29937801980726625,0.0
377,0.681736662150829,0.31826333784917105,0.41581816117188386,0.34496006661872136,0.18310685491502326,0.0,0.017506340133994474,0.0,0.038608577160377
378,0.6502768834513845,0.3497231165486156,0.4963956113597655,0.17348595872776965,0.22168970570760882,0.0,0.043232859349625695,0.0,0.06519586485523032
379,0.7313603073598272,0.2686396926401729,0.5277846179102027,0.06714273988344414,0.32773126487728804,0.009172617581876385,0.043646885003693674,0.0,0.024521874743495035
380,0.6553126666158885,0.3446873333841115,0.3178204472546376,0.49263099167790225,0.11120926123948115,0.011390580687154215,0.03635687386675345,0.0,0.03059184527407132
381,0.6472960333645104,0.35270396663548964,0.29363274587834,0.34880140231191964,0.22662023877202955,0.008669698692438886,0.0230955088118249,0.0,0.09918040553344704
382,0.6641767281411702,0.33582327185882976,0.46950598294013063,0.20304041231347011,0.23060788269841587,0.016780199364749594,0.028326574641922533,0.0,0.05173894804131125
383,0.7374663664817968,0.2625336335182033,0.5945085629188385,0.07064408041697692,0.2823529411764706,0.008972449739389427,0.02313849590469099,0.0,0.020383469843633657
384,0.6887290437916133,0.3112709562083867,0.48011363636363635,0.09746975147155003,0.3597531066056246,0.013387017658600392,0.03345732504905167,0.0,0.015819162851536953
385,0.5929985232953545,0.40700147670464554,0.18756711064403372,0.47291585753124216,0.16179662333508488,0.0,0.0,0.0,0.17772040848963927
386,0.696381057621007,0.30361894237899295,0.5984131955318926,0.12673556738699238,0.19321432299822527,0.0,0.05107004906566447,0.0,0.03056686501722518
387,0.44309177671734545,0.5569082232826545,0.11781501239762567,0.5274375735717685,0.2659854233977008,0.02291682320234428,0.015202745009642598,0.0,0.050642422420918175
388,0.5047212674331318,0.49527873256686816,0.11021526418786692,0.5012654924983692,0.3263666014350946,0.027345075016307892,0.0,0.0,0.03480756686236138
389,0.6054913877721155,0.3945086122278845,0.11114565521529612,0.4045213297506162,0.44658124403188915,0.017721125446914347,0.01550043303502032,0.0,0.004530212520263819
390,0.6044161910352321,0.3955838089647679,0.2632709990701519,0.3874987085442711,0.15433412542618039,0.0,0.061679925612150015,0.0,0.1332162413472466
391,0.7269038701622972,0.2730961298377029,0.562434130918459,0.06374175416682931,0.32579335649322766,0.0,0.029079979702564502,0.0,0.01895077871891955
392,0.6343581261857275,0.3656418738142725,0.5167746635481768,0.20518768452129904,0.17786894674283962,0.012997967869330164,0.02641769870787163,0.0,0.06075303861048273
393,0.5862377775747053,0.4137622224252947,0.07519640852974187,0.43668163112607555,0.310231949120838,0.0,0.027185434592842,0.05053622646215239,0.10016835016835017
394,0.5135230551973967,0.4864769448026033,0.18780451352563143,0.45885517859811686,0.19913316395157674,0.0,0.03694515020176356,0.0,0.11726199372291138
395,0.6359783117276305,0.36402168827236947,0.35619076470333666,0.3924784697277881,0.15882632968364566,0.0,0.04070195178950102,0.0,0.05180248409572857
397,0.6537267080745341,0.34627329192546585,0.43458654988123513,0.26829720902612825,0.22071704275534443,0.01360228622327791,0.03288301662707838,0.0,0.029913895486935866
398,0.6392518397855798,0.36074816021442024,0.41627961614226594,0.32228507400646994,0.1768745594852981,0.013988036072506461,0.037482153506948834,0.0,0.033090560786510764
399,0.6642047953411486,0.3357952046588514,0.2524373815558143,0.5644678859282599,0.11877525857935475,0.008699225974381808,0.01956755028883257,0.0,0.03605269767335662
400,0.7514004730486742,0.24859952695132578,0.5754914954716147,0.07002429865252927,0.28734997422870184,0.016475222737648183,0.05065900890950593,0.0,0.0
401,0.7208001487495739,0.2791998512504261,0.48294245362110105,0.2588404737849051,0.1940282465229261,0.01261849996775511,0.024205163481588167,0.027365162621724455,0.0
402,0.6938846706341063,0.3061153293658937,0.41333215035637183,0.0711856386596871,0.37831603229527105,0.0,0.033359950314967614,0.08286753615473338,0.020938692218969036
404,0.624295734161205,0.37570426583879496,0.4152085827424256,0.3952712036099088,0.13332258955704945,0.013767381895202137,0.04243024219541394,0.0,0.0
405,0.6523614319477641,0.3476385680522359,0.35336499099394136,0.3759006058621254,0.16755362698542656,0.0,0.030825282462747666,0.0,0.07235549369575897
408,0.6479099397853216,0.3520900602146784,0.13056947362749852,0.4625828349765638,0.14910295781477292,0.0,0.02233177091751522,0.1992618932169603,0.0361510694466893
409,0.6867605479151225,0.3132394520848774,0.5284794947637701,0.09822927492205612,0.30250219841713966,0.020465265009193382,0.05032376688784075,0.0,0.0
410,0.6961891939354914,0.30381080606450855,0.5881611031699319,0.0980829059110401,0.23299419826788867,0.022260993861935592,0.05850079878920373,0.0,0.0
411,0.7139293429029336,0.2860706570970664,0.5385726555789803,0.22327633325525104,0.2000078082298743,0.0,0.03814320293589443,0.0,0.0
412,0.7402835338117861,0.25971646618821387,0.5642185393162539,0.04275546604311389,0.355169059038386,0.008363344655140043,0.02517537421700319,0.0,0.0043182167301029206
413,0.62205291432028,0.37794708567972,0.34361325276099186,0.37954666481442895,0.19601305827602972,0.0,0.08082702414854946,0.0,0.0
414,0.5645131968202026,0.4354868031797974,0.19354744269110286,0.45946658078871094,0.24088766577861054,0.01662909506104166,0.02207453816201657,0.0,0.06739467751851744
415,0.586784933397429,0.41321506660257107,0.16035940803382664,0.45039640591966174,0.33271670190274844,0.01638477801268499,0.0,0.0,0.040142706131078225
416,0.6548353449560423,0.34516465504395766,0.18126791971965595,0.408455832157648,0.33076958084922403,0.007258908660628954,0.029240431438583715,0.0,0.04300732717425932
417,0.6328048937303672,0.3671951062696328,0.22985369252206223,0.36994890849976775,0.3220506270320483,0.0,0.019652810032512773,0.021017185322805387,0.03747677659080353
